Value for threshold delta;Mbs with Epsilon=0.01;Mbs with Epsilon=0.001;Mbs with Epsilon=0.00010;Mbs with Epsilon=0.000010
0.965;7;7;7;7
0.966;7;7;7;7
0.967;7;7;7;7
0.968;7;7;7;7
0.969;7;7;7;7
0.97;7;7;7;7
0.971;7;7;7;7
0.972;7;7;7;7
0.973;7;7;7;7
0.974;7;7;7;7
0.975;7;7;7;7
0.976;7;7;7;7
0.977;7;7;7;7
0.978;7;7;7;7
0.979;7;7;7;7
0.98;7;7;7;7
0.981;7;7;7;7
0.982;7;7;7;7
0.983;7;7;7;7
0.984;7;7;7;7
0.985;7;7;7;7
0.986;7;7;7;7
0.987;7;7;7;7
0.988;7;7;7;7
0.989;7;7;7;7
0.99;7;7;7;7
0.991;7;7;7;7
0.992;7;7;7;7
0.993;7;7;7;7
0.994;7;7;7;7
0.995;7;7;7;7
0.996;7;7;7;7
0.997;7;7;7;7
0.998;7;7;7;7
0.999;7;7;7;7
