Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled
TRUST mit Epsilon=0.01,0.66640,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66650,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66660,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66670,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66680,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66690,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66700,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66710,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66720,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66730,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66740,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66750,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66760,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66770,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66780,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66790,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.01,0.66800,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66810,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66820,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66830,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66840,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66850,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66860,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66870,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66880,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66890,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66900,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66910,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66920,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66930,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66940,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66950,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66960,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66970,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66980,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.66990,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.01,0.67000,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety}
TRUST mit Epsilon=0.001,0.665,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.001,0.66510,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.001,0.66520,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.001,0.66530,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.001,0.66540,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.001,0.66550,8,{Reinstatement / Semi-Qualified Admissibility / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Reduct Admissibility},{Strong Admissibility / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Naivety / Irrelevance of Necessarily Rejected Arguments (INRA)}
