Value for threshold delta,"NSA mit Epsilon=0.01,NSA mit Epsilon=0.001,NSA mit Epsilon=0.00010,NSA mit Epsilon=0.000010"
0.572,"1,1,1,1"
0.573,"1,1,1,1"
0.574,"1,1,1,1"
0.575,"1,1,1,1"
0.576,"1,1,1,1"
0.577,"1,1,1,1"
0.578,"1,1,1,1"
0.579,"1,1,1,1"
0.580,"1,1,1,1"
0.581,"1,1,1,1"
0.582,"1,1,1,1"
0.583,"1,1,1,1"
0.584,"1,1,1,1"
0.585,"1,1,1,1"
0.586,"1,1,1,1"
0.587,"1,1,1,1"
0.588,"1,1,1,1"
0.589,"1,1,1,1"
0.590,"1,1,1,1"
0.591,"1,1,1,1"
0.592,"1,1,1,1"
0.593,"1,1,1,1"
0.594,"1,1,1,1"
0.595,"1,1,1,1"
0.596,"1,1,1,1"
0.597,"1,1,1,1"
0.598,"1,1,1,1"
0.599,"1,1,1,1"
0.600,"1,1,1,1"
0.601,"1,1,1,1"
0.602,"1,1,1,1"
0.603,"1,1,1,1"
0.604,"1,1,1,1"
0.605,"1,1,1,1"
0.606,"1,1,1,1"
0.607,"1,1,1,1"
0.608,"1,1,1,1"
0.609,"1,1,1,1"
0.610,"1,1,1,1"
0.611,"1,1,1,1"
0.612,"1,1,1,1"
0.613,"1,1,1,1"
0.614,"1,1,1,1"
0.615,"1,1,1,1"
0.616,"1,1,1,1"
0.617,"1,1,1,1"
0.618,"1,1,1,1"
0.619,"1,3,3,3"
0.620,"3,3,3,3"
0.621,"3,3,3,3"
0.622,"3,3,3,3"
0.623,"3,3,3,3"
0.624,"3,3,3,3"
0.625,"3,3,3,3"
0.626,"3,3,3,3"
0.627,"3,3,3,3"
0.628,"3,3,3,3"
0.629,"3,3,3,3"
0.630,"3,3,3,3"
0.631,"3,3,3,3"
0.632,"3,3,3,3"
0.633,"3,3,3,3"
0.634,"3,3,3,3"
0.635,"3,3,3,3"
0.636,"3,3,3,3"
0.637,"3,3,3,3"
0.638,"3,3,3,3"
0.639,"3,3,3,3"
0.640,"3,3,3,3"
0.641,"3,3,3,3"
0.642,"3,3,3,3"
0.643,"3,3,3,3"
0.644,"3,3,3,3"
0.645,"3,3,3,3"
0.646,"3,3,3,3"
0.647,"3,3,3,3"
0.648,"3,3,3,3"
0.649,"3,3,3,3"
0.650,"3,3,3,3"
0.651,"3,3,3,3"
0.652,"3,3,3,3"
0.653,"3,3,3,3"
0.654,"3,3,3,3"
0.655,"3,3,3,3"
0.656,"3,3,3,3"
0.657,"3,3,3,3"
0.658,"3,3,3,3"
0.659,"3,3,3,3"
0.660,"3,3,3,3"
0.661,"3,3,3,3"
0.662,"3,3,3,3"
0.663,"3,3,3,3"
0.664,"3,3,3,3"
0.665,"3,3,3,3"
0.666,"3,3,3,3"
0.667,"3,3,3,3"
0.668,"3,3,3,3"
0.669,"3,3,3,3"
0.670,"3,3,3,3"
0.671,"3,3,3,3"
0.672,"3,3,3,3"
0.673,"3,3,3,3"
0.674,"3,3,3,3"
0.675,"3,3,3,3"
0.676,"3,3,3,3"
0.677,"3,3,3,3"
0.678,"3,3,3,3"
0.679,"3,3,3,3"
0.680,"3,3,3,3"
0.681,"3,3,3,3"
0.682,"3,3,3,3"
0.683,"3,3,3,3"
0.684,"3,3,3,3"
0.685,"3,3,3,3"
0.686,"3,3,3,3"
0.687,"3,3,3,3"
0.688,"4,4,4,4"
0.689,"4,4,4,4"
0.690,"4,4,4,4"
0.691,"4,4,4,4"
0.692,"4,4,4,4"
0.693,"4,4,4,4"
0.694,"4,4,4,4"
0.695,"4,4,4,4"
0.696,"4,4,4,4"
0.697,"4,4,4,4"
0.698,"4,4,4,4"
0.699,"4,4,4,4"
0.700,"4,4,4,4"
0.701,"4,4,4,4"
0.702,"4,4,4,4"
0.703,"4,4,4,4"
0.704,"4,4,4,4"
0.705,"4,4,4,4"
0.706,"4,4,4,4"
0.707,"4,4,4,4"
0.708,"4,4,4,4"
0.709,"4,4,4,4"
0.710,"4,4,4,4"
0.711,"4,4,4,4"
0.712,"4,4,4,4"
0.713,"4,4,4,4"
0.714,"4,4,4,4"
0.715,"4,4,4,4"
0.716,"4,4,4,4"
0.717,"4,4,4,4"
0.718,"4,4,4,4"
0.719,"4,4,4,4"
0.720,"4,4,4,4"
0.721,"4,4,4,4"
0.722,"4,4,4,4"
0.723,"4,4,4,4"
0.724,"4,4,4,4"
0.725,"4,4,4,4"
0.726,"4,4,4,4"
0.727,"4,4,4,4"
0.728,"4,4,4,4"
0.729,"4,4,4,4"
0.730,"4,4,4,4"
0.731,"4,4,4,4"
0.732,"4,4,4,4"
0.733,"4,4,4,4"
0.734,"4,4,4,4"
0.735,"4,4,4,4"
0.736,"4,4,4,4"
0.737,"4,4,4,4"
0.738,"4,4,4,4"
0.739,"4,4,4,4"
0.740,"4,4,4,4"
0.741,"4,4,4,4"
0.742,"4,4,4,4"
0.743,"4,4,4,4"
0.744,"4,4,4,4"
0.745,"4,4,4,4"
0.746,"4,4,4,4"
0.747,"4,4,4,4"
0.748,"4,4,4,4"
0.749,"4,4,4,4"
0.750,"4,4,4,4"
0.751,"4,4,4,4"
0.752,"4,4,4,4"
0.753,"4,4,4,4"
0.754,"4,4,4,4"
0.755,"4,4,4,4"
0.756,"4,4,4,4"
0.757,"4,4,4,4"
0.758,"4,4,4,4"
0.759,"4,4,4,4"
0.760,"4,4,4,4"
0.761,"4,4,4,4"
0.762,"4,4,4,4"
0.763,"4,4,4,4"
0.764,"4,4,4,4"
0.765,"4,4,4,4"
0.766,"4,4,4,4"
0.767,"4,4,4,4"
0.768,"4,4,4,4"
0.769,"4,4,4,4"
0.770,"4,4,4,4"
0.771,"4,4,4,4"
0.772,"4,4,4,4"
0.773,"4,4,4,4"
0.774,"4,4,4,4"
0.775,"4,4,4,4"
0.776,"4,4,4,4"
0.777,"4,4,4,4"
0.778,"4,4,4,4"
0.779,"4,4,4,4"
0.780,"4,4,4,4"
0.781,"4,4,4,4"
0.782,"4,4,4,4"
0.783,"4,4,4,4"
0.784,"4,4,4,4"
0.785,"4,4,4,4"
0.786,"4,4,4,4"
0.787,"4,4,4,4"
0.788,"4,4,4,4"
0.789,"4,4,4,4"
0.790,"4,4,4,4"
0.791,"4,4,4,4"
0.792,"4,4,4,4"
0.793,"4,4,4,4"
0.794,"4,4,4,4"
0.795,"4,4,4,4"
0.796,"4,4,4,4"
0.797,"4,4,4,4"
0.798,"4,4,4,4"
0.799,"4,4,4,4"
0.800,"4,4,4,4"
0.801,"4,4,4,4"
0.802,"4,4,4,4"
0.803,"4,4,4,4"
0.804,"4,4,4,4"
0.805,"4,4,4,4"
0.806,"4,4,4,4"
0.807,"4,4,4,4"
0.808,"4,4,4,4"
0.809,"4,4,4,4"
0.810,"4,4,4,4"
0.811,"4,4,4,4"
0.812,"4,4,4,4"
0.813,"4,4,4,4"
0.814,"4,4,4,4"
0.815,"4,4,4,4"
0.816,"4,4,4,4"
0.817,"4,4,4,4"
0.818,"4,4,4,4"
0.819,"4,4,4,4"
0.820,"4,4,4,4"
0.821,"4,4,4,4"
0.822,"4,4,4,4"
0.823,"4,4,4,4"
0.824,"4,4,4,4"
0.825,"4,4,4,4"
0.826,"4,4,4,4"
0.827,"4,4,4,4"
0.828,"4,4,4,4"
0.829,"4,4,4,4"
0.830,"4,4,4,4"
0.831,"4,4,4,4"
0.832,"4,4,4,4"
0.833,"4,4,4,4"
0.834,"4,4,4,4"
0.835,"4,4,4,4"
0.836,"4,4,4,4"
0.837,"4,4,4,4"
0.838,"4,4,4,4"
0.839,"4,4,4,4"
0.840,"4,4,4,4"
0.841,"4,4,4,4"
0.842,"4,4,4,4"
0.843,"4,4,4,4"
0.844,"4,4,4,4"
0.845,"4,4,4,4"
0.846,"4,4,4,4"
0.847,"4,4,4,4"
0.848,"4,4,4,4"
0.849,"4,4,4,4"
0.850,"4,4,4,4"
0.851,"4,4,4,4"
0.852,"4,4,4,4"
0.853,"4,4,4,4"
0.854,"4,4,4,4"
0.855,"4,4,4,4"
0.856,"4,4,4,4"
0.857,"4,4,4,4"
0.858,"4,4,4,4"
0.859,"4,4,4,4"
0.860,"4,4,4,4"
0.861,"4,4,4,4"
0.862,"4,4,4,4"
0.863,"4,4,4,4"
0.864,"4,4,4,4"
0.865,"4,4,4,4"
0.866,"4,4,4,4"
0.867,"4,4,4,4"
0.868,"4,4,4,4"
0.869,"4,4,4,4"
0.870,"4,4,4,4"
0.871,"4,4,4,4"
0.872,"4,4,4,4"
0.873,"4,4,4,4"
0.874,"4,4,4,4"
0.875,"4,4,4,4"
0.876,"4,4,4,4"
0.877,"4,4,4,4"
0.878,"4,4,4,4"
0.879,"4,4,4,4"
0.880,"4,4,4,4"
0.881,"4,4,4,4"
0.882,"4,4,4,4"
0.883,"4,4,4,4"
0.884,"4,4,4,4"
0.885,"4,4,4,4"
0.886,"4,4,4,4"
0.887,"4,4,4,4"
0.888,"4,4,4,4"
0.889,"4,4,4,4"
0.890,"4,4,4,4"
0.891,"4,4,4,4"
0.892,"4,4,4,4"
0.893,"4,4,4,4"
0.894,"4,4,4,4"
0.895,"4,4,4,4"
0.896,"4,4,4,4"
0.897,"4,4,4,4"
0.898,"4,4,4,4"
0.899,"4,4,4,4"
0.900,"4,4,4,4"
0.901,"4,4,4,4"
0.902,"4,4,4,4"
0.903,"4,4,4,4"
