Value for threshold delta,"MAX mit Epsilon=1.0E-7,MAX mit Epsilon=0.01,MAX mit Epsilon=0.001,MAX mit Epsilon=0.00010,MAX mit Epsilon=0.0000010,MAX mit Epsilon=0.000010"
0.790,"8,8,8,8,8,8,8"
0.791,"8,8,13,8,8,8,8"
0.792,"8,8,8,8,8,8,13"
0.793,"8,8,8,8,8,13,13"
0.794,"8,8,8,13,8,13,13"
0.795,"8,8,8,8,8,13,8"
0.796,"8,8,8,8,8,13,8"
0.797,"8,8,8,8,8,8,8"
0.798,"8,8,8,13,8,8,8"
0.799,"8,8,8,8,8,8,13"
0.800,"8,8,8,8,8,8,13"
0.801,"8,8,8,8,8,8,13"
0.802,"8,8,8,8,8,13,13"
0.803,"8,8,9,8,8,13,13"
0.804,"13,8,13,8,8,13,8"
0.805,"13,8,8,8,8,8,8"
0.806,"13,8,8,8,8,8,8"
0.807,"13,8,9,8,8,8,8"
0.808,"13,8,13,8,8,8,8"
0.809,"13,8,8,8,8,13,8"
0.810,"13,8,8,13,8,13,8"
0.811,"8,8,8,13,8,13,8"
0.812,"8,8,8,8,8,13,8"
0.813,"8,8,8,8,8,8,8"
0.814,"8,8,8,9,8,8,8"
0.815,"8,8,8,13,8,8,8"
0.816,"8,8,8,8,8,8,8"
0.817,"8,8,8,8,8,8,13"
0.818,"8,13,13,8,8,8,13"
0.819,"8,13,13,8,8,8,13"
0.820,"13,13,13,8,13,8,8"
0.821,"13,13,13,8,8,8,8"
0.822,"13,13,13,8,13,8,8"
0.823,"13,13,13,8,8,8,8"
0.824,"13,13,13,8,8,8,8"
0.825,"13,13,8,8,8,8,13"
0.826,"13,13,8,8,8,8,13"
0.827,"13,13,8,13,8,8,13"
0.828,"8,13,8,8,8,8,9"
0.829,"8,13,8,8,8,8,9"
0.830,"8,13,8,8,8,8,9"
0.831,"8,13,8,13,13,8,9"
0.832,"8,13,8,8,13,8,13"
0.833,"8,13,8,8,13,8,13"
0.834,"8,13,13,8,13,8,13"
0.835,"8,13,13,8,13,8,13"
0.836,"8,13,13,8,13,8,8"
0.837,"8,13,13,8,13,8,8"
0.838,"8,13,13,8,13,8,8"
0.839,"8,13,13,8,8,8,8"
0.840,"8,13,13,9,8,8,8"
0.841,"8,13,13,13,8,8,8"
0.842,"8,13,8,13,8,8,8"
0.843,"8,13,8,13,8,8,8"
0.844,"8,13,8,13,8,8,8"
0.845,"8,13,8,13,8,8,13"
0.846,"8,13,8,13,8,8,13"
0.847,"8,13,8,13,13,8,13"
0.848,"8,13,8,8,13,8,13"
0.849,"8,13,8,8,13,9,13"
0.850,"8,13,13,8,13,8,13"
0.851,"8,8,13,8,13,8,13"
0.852,"8,8,13,9,13,8,13"
0.853,"8,8,13,8,13,9,8"
0.854,"8,8,13,9,13,9,8"
0.855,"8,8,13,8,8,13,8"
0.856,"8,8,13,9,8,13,8"
0.857,"8,8,13,13,8,13,8"
0.858,"8,8,8,13,8,13,8"
0.859,"8,8,8,13,8,13,8"
0.860,"13,8,8,13,8,13,8"
0.861,"8,8,8,13,8,13,13"
0.862,"8,8,8,13,8,8,13"
0.863,"8,8,8,13,8,8,13"
0.864,"8,8,8,13,8,8,13"
0.865,"8,8,8,13,9,9,13"
0.866,"8,8,9,13,8,8,13"
0.867,"9,8,13,13,8,8,13"
0.868,"13,8,13,13,8,8,13"
0.869,"8,8,13,13,8,9,8"
0.870,"8,8,13,13,8,9,8"
0.871,"8,9,13,13,8,13,8"
0.872,"8,9,13,13,8,13,8"
0.873,"8,8,13,13,8,13,8"
0.874,"8,8,8,13,8,13,8"
0.875,"9,9,8,13,8,13,8"
0.876,"13,8,8,13,8,13,8"
0.877,"8,8,8,13,8,13,8"
0.878,"8,8,8,13,8,13,13"
0.879,"8,8,8,13,8,8,13"
0.880,"13,9,8,13,8,8,13"
0.881,"8,8,13,13,8,8,13"
0.882,"8,8,8,13,8,8,13"
0.883,"9,8,8,13,8,8,13"
0.884,"13,8,8,13,8,8,13"
0.885,"8,8,8,13,8,8,13"
0.886,"8,8,8,13,8,8,8"
0.887,"8,13,8,13,8,8,8"
0.888,"8,8,8,13,8,8,8"
0.889,"8,8,9,13,8,8,8"
0.890,"8,9,13,13,8,8,8"
0.891,"8,13,8,13,8,8,8"
0.892,"13,8,8,13,8,8,8"
0.893,"8,8,8,13,8,8,8"
0.894,"8,8,8,13,8,8,13"
0.895,"8,8,8,13,8,8,13"
0.896,"8,8,8,13,8,8,13"
0.897,"8,8,9,13,13,8,13"
0.898,"8,8,13,8,13,8,13"
0.899,"9,13,8,8,13,8,13"
0.900,"8,8,8,9,13,8,13"
0.901,"8,8,8,13,13,8,13"
0.902,"8,8,8,8,13,8,8"
0.903,"8,13,8,8,13,8,8"
0.904,"8,13,8,9,8,8,8"
0.905,"8,8,9,13,8,8,8"
0.906,"8,9,13,8,8,8,8"
0.907,"8,13,8,8,8,8,8"
0.908,"8,8,8,8,8,8,8"
0.909,"8,8,8,8,8,8,8"
0.910,"8,8,8,8,8,8,8"
0.911,"8,8,8,8,8,13,13"
0.912,"8,13,8,9,8,13,13"
0.913,"8,8,8,13,13,13,13"
0.914,"8,9,13,8,13,13,13"
0.915,"8,13,8,8,13,13,13"
0.916,"8,13,8,8,13,13,13"
0.917,"9,8,8,8,13,13,13"
0.918,"8,8,8,9,13,13,8"
0.919,"8,8,8,8,13,13,8"
0.920,"8,8,8,9,13,13,8"
0.921,"8,8,8,13,8,13,8"
0.922,"8,8,13,8,8,13,8"
0.923,"8,8,8,8,8,13,8"
0.924,"8,9,8,8,8,13,8"
0.925,"9,8,8,8,8,13,8"
0.926,"13,8,13,13,8,13,8"
0.927,"8,8,13,8,8,13,13"
0.928,"13,8,8,9,8,13,13"
0.929,"8,8,8,13,8,13,13"
0.930,"8,8,13,8,8,13,13"
0.931,"13,8,13,8,8,13,13"
0.932,"13,9,8,8,8,13,13"
0.933,"13,8,8,13,8,13,13"
0.934,"8,8,9,13,8,13,13"
0.935,"8,8,9,8,8,13,8"
0.936,"8,8,8,8,8,13,8"
0.937,"8,8,8,13,8,13,8"
0.938,"8,8,9,13,8,13,8"
0.939,"13,9,13,8,8,13,8"
0.940,"13,9,8,8,8,13,8"
0.941,"13,8,8,8,8,13,8"
0.942,"13,8,8,8,8,13,8"
0.943,"13,8,8,8,8,13,8"
0.944,"13,8,8,8,8,8,13"
0.945,"13,8,13,9,8,8,13"
0.946,"13,8,13,13,8,8,13"
0.947,"13,9,13,8,8,8,13"
0.948,"13,9,8,8,8,8,13"
0.949,"13,13,8,8,13,8,13"
0.950,"13,13,8,13,8,8,13"
0.951,"8,13,8,9,9,8,8"
0.952,"8,13,8,9,8,8,8"
0.953,"8,13,13,9,9,8,8"
0.954,"9,13,13,13,8,8,8"
0.955,"13,13,13,8,8,8,8"
0.956,"13,13,8,8,8,8,8"
0.957,"13,8,8,8,8,8,8"
0.958,"13,8,8,9,8,8,8"
0.959,"8,8,8,9,13,8,9"
0.960,"8,8,13,9,13,13,13"
0.961,"8,8,13,9,13,8,13"
0.962,"8,13,13,13,8,8,13"
0.963,"8,13,13,13,8,8,13"
0.964,"8,13,8,13,8,8,13"
0.965,"8,13,8,13,8,8,13"
0.966,"8,13,8,13,8,8,13"
0.967,"8,13,8,13,13,9,8"
0.968,"8,13,13,13,13,9,8"
0.969,"8,13,13,13,13,8,8"
0.970,"8,13,13,13,8,8,8"
0.971,"8,13,13,8,8,8,8"
0.972,"8,13,13,8,8,8,13"
0.973,"8,13,8,8,13,8,13"
0.974,"8,8,8,8,13,8,13"
0.975,"8,8,8,8,13,9,13"
0.976,"8,8,8,13,13,9,8"
0.977,"8,8,8,13,13,13,8"
0.978,"8,13,13,13,8,13,8"
0.979,"8,13,13,8,8,13,8"
0.980,"8,13,13,8,8,13,8"
0.981,"8,13,8,13,8,13,13"
0.982,"8,8,8,8,13,13,13"
0.983,"8,8,8,13,13,13,13"
0.984,"8,8,8,13,13,13,8"
0.985,"8,8,8,13,13,8,8"
0.986,"8,8,13,13,8,8,8"
0.987,"8,8,13,13,8,8,8"
0.988,"8,8,13,8,8,8,13"
0.989,"8,8,13,8,8,8,13"
0.990,"8,8,13,8,8,13,13"
0.991,"13,8,13,8,8,13,13"
0.992,"8,8,13,13,13,13,8"
0.993,"8,8,13,13,8,8,8"
0.994,"13,8,13,13,8,8,8"
0.995,"13,8,13,13,8,8,8"
0.996,"8,8,13,13,8,13,13"
0.997,"8,8,8,13,8,13,13"
0.998,"9,8,8,13,8,13,13"
0.999,"13,8,8,13,8,13,13"
1.000,"10,10,10,10,10,13,10"
