Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled
CATEGORIZER mit Epsilon=0.001,0.584,2,{Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.585,2,{CF-Reinstatement / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.586,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.587,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.588,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.589,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.590,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.591,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.592,2,{CF-Reinstatement / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.593,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.594,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.595,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.596,2,{CF-Reinstatement / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.597,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.598,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.599,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.600,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.601,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.602,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.603,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.604,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.605,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.606,1,{I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Semi-Qualified Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.607,2,{Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.608,2,{Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.609,2,{Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.610,2,{Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.611,2,{Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.612,4,{CF-Reinstatement / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / Conflict-Free / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
