Value for threshold delta,"NSA mit Epsilon=0.01,NSA mit Epsilon=0.001,NSA mit Epsilon=0.00010,NSA mit Epsilon=0.000010"
0.662,"3,3,7,3"
0.663,"3,3,5,7"
0.664,"3,3,4,5"
0.665,"3,3,4,5"
0.666,"3,4,7,9"
0.667,"4,3,5,9"
0.668,"3,4,7,5"
0.669,"4,3,4,8"
0.670,"4,4,4,5"
0.671,"4,3,4,5"
0.672,"4,3,4,7"
0.673,"4,4,5,11"
0.674,"3,5,5,7"
0.675,"5,4,5,10"
0.676,"5,3,5,7"
0.677,"3,4,4,10"
0.678,"3,5,4,7"
0.679,"5,4,4,7"
0.680,"3,3,4,7"
0.681,"3,4,5,11"
0.682,"3,5,5,11"
0.683,"5,4,5,4"
0.684,"4,3,5,4"
0.685,"4,4,3,8"
0.686,"5,4,3,4"
0.687,"5,4,4,8"
0.688,"5,4,4,5"
0.689,"5,3,4,9"
0.690,"5,4,5,5"
0.691,"5,5,4,9"
0.692,"7,4,4,4"
0.693,"11,3,4,4"
0.694,"11,5,5,4"
0.695,"11,4,5,4"
0.696,"5,4,5,5"
0.697,"5,3,5,5"
0.698,"5,3,4,5"
0.699,"5,5,4,5"
0.700,"5,4,4,9"
0.701,"4,4,4,9"
0.702,"4,5,3,11"
0.703,"4,5,3,12"
0.704,"8,4,4,11"
0.705,"5,4,4,11"
0.706,"5,4,3,11"
0.707,"5,4,3,12"
0.708,"7,4,4,11"
0.709,"7,4,4,11"
0.710,"11,4,3,11"
0.711,"11,4,4,11"
0.712,"11,5,5,7"
0.713,"5,5,7,11"
0.714,"5,5,3,11"
0.715,"7,5,4,11"
0.716,"7,4,5,12"
0.717,"5,4,7,8"
0.718,"7,4,5,13"
0.719,"7,7,5,13"
0.720,"7,3,4,9"
0.721,"8,5,5,9"
0.722,"7,5,5,9"
0.723,"7,5,7,9"
0.724,"7,4,4,5"
0.725,"7,5,8,7"
0.726,"7,5,5,7"
0.727,"7,5,5,7"
0.728,"7,4,5,11"
0.729,"4,7,7,9"
0.730,"4,5,4,9"
0.731,"5,7,7,9"
0.732,"5,5,7,13"
0.733,"5,7,12,7"
