Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled,node_ext_percentage
MAX mit Epsilon=0.00010,0.60,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.61,2,{CF-Reinstatement / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.62,14,{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Naivety},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.63,14,{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Naivety},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.64,14,{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Naivety},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.65,14,{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Naivety},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.66,14,{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Naivety},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.67,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.68,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.69,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
