AF;Ext;Ranking;Grounded
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A3)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631};{}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A0,A2)]>;{A1,A0};{A1=1, A2=0.0, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.2637614678899082568807339449541284, A3=0.7912621359223300970873786407766990, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A3)]>;{A1,A2};{A1=0.0, A2=1, A3=0.5, A0=0.5};{}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A1,A0)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=1, A0=1};{}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A3,A0)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631};{}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A3,A2)]>;{A1,A0};{A1=1, A2=0.2857142857142857142857142857142857, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A3,A2)]>;{A1,A3,A0};{A1=0.0, A2=0.0, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A3,A0)]>;{A1,A2,A0};{A1=0.0, A2=1, A3=0.5, A0=0.6666666666666666666666666666666667};{}
<{ A1, A2, A0 },[(A1,A1), (A2,A2)]>;{A1,A2,A0};{A1=0.0, A2=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A2)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A1), (A1,A0)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631};{}
